    Hytra-M         Hytra-NM        LORS
10  4.5858623	    15.8905583	    1496.2534939
20  6.7815451	    17.5906915	    2044.9578309
30  7.9037672	    23.4130013	    2139.6614907
40  8.512088	    33.2902246	    2298.0289824
50  9.1459793	    71.8758585	    2976.3437128
